observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
SYFW0144_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0144,sequence1,2024-01-29T07:03:00-0600,2024-01-29T07:03:00-0600,media,unclassified,,Branta canadensis,,,,,,,,,,,,,,Bethanie Royality-Lindman,,,,SYFW0144.MP4 | Video of goose landing in water
SYFW0001_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0001,sequence1,2024-01-25T21:14:16-0600,2024-01-25T21:14:16-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0002_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0002,sequence1,2024-01-26T02:19:09-0600,2024-01-26T02:19:09-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0003_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0003,sequence1,2024-01-26T14:19:07-0600,2024-01-26T14:19:07-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0004_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0004,sequence1,2024-01-27T02:19:08-0600,2024-01-27T02:19:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0005_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0005,sequence1,2024-01-27T13:41:48-0600,2024-01-27T13:41:48-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0006_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0006,sequence1,2024-01-27T07:42:02-0600,2024-01-27T07:42:02-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0007_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0007,sequence1,2024-01-27T13:43:26-0600,2024-01-27T13:43:26-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0008_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0008,sequence1,2024-01-27T13:44:16-0600,2024-01-27T13:44:16-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0009_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0009,sequence1,2024-01-27T07:44:30-0600,2024-01-27T07:44:30-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0010_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0010,sequence1,2024-01-27T14:04:37-0600,2024-01-27T14:04:37-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0011_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0011,sequence1,2024-01-27T14:04:48-0600,2024-01-27T14:04:48-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0012_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0012,sequence1,2024-01-27T08:05:00-0600,2024-01-27T08:05:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0013_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0013,sequence1,2024-01-27T14:05:30-0600,2024-01-27T14:05:30-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0014_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0014,sequence1,2024-01-27T08:05:42-0600,2024-01-27T08:05:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0015_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0015,sequence1,2024-01-27T14:06:05-0600,2024-01-27T14:06:05-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0016_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0016,sequence1,2024-01-27T14:06:47-0600,2024-01-27T14:06:47-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0017_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0017,sequence1,2024-01-27T08:07:00-0600,2024-01-27T08:07:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0018_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0018,sequence1,2024-01-27T14:07:17-0600,2024-01-27T14:07:17-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
