observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
SYFW0217_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0217,,2024-01-30T18:28:28-0600,2024-01-30T18:28:28-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0143_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0143,,2024-01-27T08:28:56-0600,2024-01-27T08:28:56-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0029_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0029,,2024-01-24T19:22:08-0600,2024-01-24T19:22:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0001_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0001,,2024-01-24T18:56:50-0600,2024-01-24T18:56:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0209_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0209,,2024-01-30T10:28:16-0600,2024-01-30T10:28:16-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0037_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0037,,2024-01-27T05:23:42-0600,2024-01-27T05:23:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0234_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0234,,2024-01-30T12:41:04-0600,2024-01-30T12:41:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0220_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0220,,2024-01-30T12:29:56-0600,2024-01-30T12:29:56-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0174_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0174,,2024-01-29T10:14:59-0600,2024-01-29T10:14:59-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0160_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0160,,2024-01-28T13:02:06-0600,2024-01-28T13:02:06-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0148_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0148,,2024-01-27T14:32:01-0600,2024-01-27T14:32:01-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0014_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0014,,2024-01-24T19:09:22-0600,2024-01-24T19:09:22-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0202_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0202,,2024-01-30T15:01:52-0600,2024-01-30T15:01:52-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0181_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0181,,2024-01-29T06:14:04-0600,2024-01-29T06:14:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0195_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0195,,2024-01-29T07:43:38-0600,2024-01-29T07:43:38-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0183_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0183,,2024-01-29T06:20:00-0600,2024-01-29T06:20:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0200_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0200,,2024-01-30T12:59:01-0600,2024-01-30T12:59:01-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0197_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0197,,2024-01-29T07:49:14-0600,2024-01-29T07:49:14-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0002_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0002,,2024-01-24T19:01:54-0600,2024-01-24T19:01:54-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0016_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0016,,2024-01-24T19:10:29-0600,2024-01-24T19:10:29-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0176_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0176,,2024-01-29T10:47:33-0600,2024-01-29T10:47:33-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0162_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0162,,2024-01-28T14:09:53-0600,2024-01-28T14:09:53-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0236_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0236,,2024-01-30T12:42:12-0600,2024-01-30T12:42:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0222_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0222,,2024-01-30T12:31:04-0600,2024-01-30T12:31:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0021_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0021,,2024-01-24T13:12:52-0600,2024-01-24T13:12:52-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0035_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0035,,2024-01-27T05:22:06-0600,2024-01-27T05:22:06-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0009_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0009,,2024-01-24T13:05:50-0600,2024-01-24T13:05:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0188_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0188,,2024-01-29T13:02:34-0600,2024-01-29T13:02:34-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0155_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0155,,2024-01-27T10:15:02-0600,2024-01-27T10:15:02-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0141_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0141,,2024-01-27T08:27:32-0600,2024-01-27T08:27:32-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0169_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0169,,2024-01-29T01:58:12-0600,2024-01-29T01:58:12-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0215_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0215,,2024-01-30T18:27:23-0600,2024-01-30T18:27:23-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0229_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0229,,2024-01-30T18:35:19-0600,2024-01-30T18:35:19-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0211_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0211,,2024-01-30T18:22:50-0600,2024-01-30T18:22:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0239_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0239,,2024-01-30T18:44:07-0600,2024-01-30T18:44:07-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0145_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0145,,2024-01-27T08:30:00-0600,2024-01-27T08:30:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0151_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0151,,2024-01-27T08:36:00-0600,2024-01-27T08:36:00-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0179_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0179,,2024-01-29T04:50:48-0600,2024-01-29T04:50:48-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0198_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0198,,2024-01-29T16:30:18-0600,2024-01-29T16:30:18-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0019_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0019,,2024-01-24T13:11:54-0600,2024-01-24T13:11:54-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0024_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0024,,2024-01-24T13:18:38-0600,2024-01-24T13:18:38-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0030_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0030,,2024-01-24T13:22:28-0600,2024-01-24T13:22:28-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0199_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0199,,2024-01-30T04:30:19-0600,2024-01-30T04:30:19-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0226_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0226,,2024-01-30T12:33:20-0600,2024-01-30T12:33:20-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0232_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0232,,2024-01-30T12:40:02-0600,2024-01-30T12:40:02-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0166_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0166,,2024-01-29T04:37:15-0600,2024-01-29T04:37:15-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0172_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0172,,2024-01-29T08:58:41-0600,2024-01-29T08:58:41-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0012_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0012,,2024-01-24T19:07:59-0600,2024-01-24T19:07:59-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0006_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0006,,2024-01-24T19:04:19-0600,2024-01-24T19:04:19-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0193_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0193,,2024-01-29T07:37:04-0600,2024-01-29T07:37:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0210_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0210,,2024-01-30T16:30:08-0600,2024-01-30T16:30:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0187_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0187,,2024-01-29T07:01:22-0600,2024-01-29T07:01:22-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0204_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0204,,2024-01-30T15:19:50-0600,2024-01-30T15:19:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0191_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0191,,2024-01-29T07:04:30-0600,2024-01-29T07:04:30-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0206_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0206,,2024-01-30T16:26:36-0600,2024-01-30T16:26:36-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0185_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0185,,2024-01-29T06:55:28-0600,2024-01-29T06:55:28-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0010_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0010,,2024-01-24T19:06:41-0600,2024-01-24T19:06:41-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0004_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0004,,2024-01-24T19:03:05-0600,2024-01-24T19:03:05-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0038_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0038,,2024-01-27T11:24:40-0600,2024-01-27T11:24:40-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0164_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0164,,2024-01-28T16:30:17-0600,2024-01-28T16:30:17-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0170_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0170,,2024-01-29T08:27:31-0600,2024-01-29T08:27:31-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0158_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0158,,2024-01-28T13:00:32-0600,2024-01-28T13:00:32-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0224_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0224,,2024-01-30T12:32:08-0600,2024-01-30T12:32:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0230_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0230,,2024-01-30T12:35:42-0600,2024-01-30T12:35:42-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0218_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0218,,2024-01-30T12:28:48-0600,2024-01-30T12:28:48-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0026_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0026,,2024-01-24T13:20:08-0600,2024-01-24T13:20:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0033_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0033,,2024-01-27T05:14:46-0600,2024-01-27T05:14:46-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0165_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0165,,2024-01-29T04:30:18-0600,2024-01-29T04:30:18-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0147_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0147,,2024-01-27T08:31:08-0600,2024-01-27T08:31:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0153_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0153,,2024-01-27T08:38:08-0600,2024-01-27T08:38:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0213_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0213,,2024-01-30T18:26:08-0600,2024-01-30T18:26:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0076_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0076,,2024-01-27T13:43:46-0600,2024-01-27T13:43:46-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0062_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0062,,2024-01-27T13:34:23-0600,2024-01-27T13:34:23-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0102_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0102,,2024-01-27T13:58:38-0600,2024-01-27T13:58:38-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0116_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0116,,2024-01-27T14:06:59-0600,2024-01-27T14:06:59-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0242_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0242,,2024-01-30T12:45:30-0600,2024-01-30T12:45:30-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0083_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0083,,2024-01-27T07:47:40-0600,2024-01-27T07:47:40-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0097_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0097,,2024-01-27T07:55:30-0600,2024-01-27T07:55:30-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0041_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0041,,2024-01-27T05:26:36-0600,2024-01-27T05:26:36-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0069_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0069,,2024-01-27T07:38:04-0600,2024-01-27T07:38:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0088_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0088,,2024-01-27T13:50:43-0600,2024-01-27T13:50:43-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0121_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0121,,2024-01-27T08:10:50-0600,2024-01-27T08:10:50-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0135_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0135,,2024-01-27T08:24:08-0600,2024-01-27T08:24:08-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0109_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0109,,2024-01-27T08:02:38-0600,2024-01-27T08:02:38-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
SYFW0123_1,Prologis_02-2024-01-30-Wildlife_Camera,SYFW0123,,2024-01-27T08:12:04-0600,2024-01-27T08:12:04-0600,media,unclassified,,,,,,,,,,,,,,,,,,,,
